date,month,month_num,year,quarter,region,store_name,product_name,category,quantity,unit_price,discount_pct,net_revenue,gross_profit
2024-10-16,October,10,2024,Q4,East,Toronto Downtown,Office Chair Ergonomic,Furniture,5,249.99,0,1249.95,824.95
2023-08-17,August,8,2023,Q3,Online,Online Store,Laptop Stand Aluminum,Electronics,2,49.99,15,84.98,75.98
2024-07-12,July,7,2024,Q3,Central,Saskatoon Outlet,Office Chair Ergonomic,Furniture,7,249.99,0,1749.93,1154.93
2023-01-31,January,1,2023,Q1,West,Vancouver Flagship,Office Chair Ergonomic,Furniture,4,249.99,10,899.96,659.96
2024-09-08,September,9,2024,Q3,Central,Saskatoon Outlet,Wireless Headphones Pro,Electronics,4,129.99,15,441.97,339.96
2024-10-27,October,10,2024,Q4,West,Vancouver Flagship,Yoga Mat Premium,Health,8,39.99,10,287.93,255.92
2023-10-12,October,10,2023,Q4,West,Vancouver Flagship,Wireless Headphones Pro,Electronics,7,129.99,0,909.93,594.93
2023-10-12,October,10,2023,Q4,West,Vancouver Flagship,Laptop Stand Aluminum,Electronics,6,49.99,0,299.94,227.94
2023-04-05,April,4,2023,Q2,East,Toronto Downtown,Yoga Mat Premium,Health,6,39.99,20,191.95,191.94
2023-12-19,December,12,2023,Q4,East,Toronto Downtown,Running Shoes Men,Footwear,8,99.99,10,719.93,519.92
2023-05-08,May,5,2023,Q2,East,Toronto Downtown,Yoga Mat Premium,Health,9,39.99,0,359.91,287.91
2024-10-05,October,10,2024,Q4,Central,Saskatoon Outlet,Coffee Maker Deluxe,Appliances,4,119.99,15,407.97,319.96
2023-03-13,March,3,2023,Q1,Online,Online Store,Wireless Headphones Pro,Electronics,4,129.99,20,415.97,339.96
2023-10-24,October,10,2023,Q4,West,Vancouver Flagship,Office Chair Ergonomic,Furniture,2,249.99,5,474.98,329.98
2023-10-12,October,10,2023,Q4,Online,Online Store,Bluetooth Speaker Mini,Electronics,6,69.99,0,419.94,299.94
2024-01-15,January,1,2024,Q1,West,Vancouver Flagship,Coffee Maker Deluxe,Appliances,5,119.99,15,509.96,399.95
2024-11-30,November,11,2024,Q4,Central,Saskatoon Outlet,Office Chair Ergonomic,Furniture,3,249.99,10,674.97,494.97
2023-09-08,September,9,2023,Q3,East,Montreal Hub,Laptop Stand Aluminum,Electronics,7,49.99,0,349.93,265.93
2024-10-17,October,10,2024,Q4,Online,Online Store,Protein Powder Vanilla,Health,6,54.99,20,263.95,221.94
2023-02-27,February,2,2023,Q1,East,Toronto Downtown,Protein Powder Vanilla,Health,6,54.99,5,313.44,221.94
2023-10-02,October,10,2023,Q4,West,Vancouver Flagship,Office Chair Ergonomic,Furniture,10,249.99,15,2124.91,1649.9
2023-11-19,November,11,2023,Q4,Online,Online Store,Protein Powder Vanilla,Health,8,54.99,5,417.92,295.92
